time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,DeviceOrientation
2014-02-24 18:17:01.814,1,0.1,43.61254,3.912179,24.9822,3.527539,171.0768,9,5,1393262220,0.1624451,-0.393219,-0.9277954,-75.68192,-121.0272,7.307053,134.9848,134.2765,25,-0.03307406,0.01997424,-0.02162886,0.04975956,0.1873391,0.4956875,-0.04867782,0.09143406,-0.07113435,0.03090357,0.03079704,-0.06474977,1
2014-02-24 18:17:01.919,2,0.2,43.61251,3.912186,24.62286,3.137119,171.3232,9,5,1393262221,0.1526489,-0.3698273,-0.8959045,-75.02324,-121.8938,8.547379,135.6398,134.9316,25,-0.001269529,-0.01582051,0.007180415,0.04920786,0.1883696,0.4946157,-0.04773393,0.01021542,-0.02340836,0.02669811,0.04280869,-0.07722091,1
2014-02-24 18:17:02.041,3,0.3,43.61251,3.912186,24.62286,3.137119,171.3232,9,5,1393262221,0.1516724,-0.3737183,-0.8851624,-75.68192,-122.4355,10.12598,136.7836,136.0753,25,0.104222,-0.005625395,0.04680666,0.04961919,0.1875775,0.4913193,-0.01601472,-0.02559091,0.005389,-0.001975933,0.07857053,-0.06155042,1
2014-02-24 18:17:02.137,4,0.4,43.61251,3.912186,24.62286,3.137119,171.3232,9,5,1393262221,0.1516724,-0.3737183,-0.8851624,-73.87055,-124.1145,10.63337,138.414,137.7058,25,0.1915718,0.06977881,0.03752501,0.0502964,0.1874502,0.495316,0.1768267,0.06000848,0.0357336,-0.009447501,0.1104721,-0.0246927,1
2014-02-24 18:17:02.350,5,0.5,43.61251,3.912186,24.62286,3.137119,171.3232,9,5,1393262221,0.1802673,-0.4265594,-0.929306,-73.1021,-125.1977,11.30992,139.2524,138.5441,25,0.04213707,0.1245544,-0.05594689,0.04855754,0.191368,0.4938231,0.02730176,0.1147697,-0.05774975,0.004992002,0.07667207,-0.04661867,1
2014-02-24 18:17:02.505,6,0.6,43.61251,3.912186,24.62286,3.137119,171.3232,9,5,1393262221,0.1805878,-0.4337006,-0.952652,-72.38853,-124.9269,11.47904,139.5627,138.8544,25,-0.01102469,0.09722189,-0.02099769,0.04810394,0.193461,0.4914626,-0.02592345,0.08743613,-0.02281266,0.01076569,0.04535646,-0.06410977,1
2014-02-24 18:17:02.629,7,0.7,43.61251,3.912186,24.62286,3.137119,171.3232,9,5,1393262221,0.1832886,-0.4588623,-0.9739075,-69.53427,-125.4685,13.05764,141.2917,140.5835,25,-0.05976347,0.09410866,-0.08009084,0.0470745,0.1954387,0.4902953,-0.07466216,0.08432294,-0.0819058,0.009268428,0.03718589,-0.08725286,1
2014-02-24 18:17:02.725,8,0.8,43.61251,3.912186,24.62286,3.137119,171.3232,9,5,1393262221,0.1854706,-0.4698181,-0.9620819,-42.08941,-119.4024,27.37775,155.9849,155.2767,25,-0.04095968,0.1142901,-0.1258589,0.04514582,0.1979108,0.4869081,-0.05590925,0.1044954,-0.1276799,0.009517821,0.009033277,-0.1073756,1
2014-02-24 18:17:02.820,9,0.9,43.61248,3.912195,22.26219,3.016407,170.9329,9,5,1393262222,0.2136536,-0.4646606,-0.9881134,-46.9197,-122.5438,24.44608,153.8904,153.1821,25,-0.03232199,0.1505584,-0.134341,0.0426461,0.2014535,0.4855797,-0.04727152,0.1407637,-0.136162,0.007454027,0.001877371,-0.1014833,1
2014-02-24 18:17:02.904,10,1,43.61248,3.912195,22.26219,3.016407,170.9329,9,5,1393262222,0.2181702,-0.445694,-0.9774933,-51.75,-127.635,20.38684,152.3153,151.6071,25,-0.04827512,0.1549209,-0.1404029,0.03985547,0.2055417,0.4840089,-0.06322458,0.1451263,-0.1422239,0.02591935,0.0008842783,-0.1139027,1
2014-02-24 18:17:03.005,11,1.1,43.61248,3.912195,22.26219,3.016407,170.9329,9,5,1393262222,0.2181702,-0.445694,-0.9774933,-41.86986,-136.4093,25.23538,157.7704,157.0622,25,0.03149188,0.08216385,-0.1025602,0.03739125,0.2089928,0.4826548,-0.03769951,0.116031,-0.119667,0.0358305,0.002340379,-0.121591,1
